n,k,requested,mapping,resolved,candidate_mapping,call_path,timing,timing_boundary,execution_schedule,cache,rotations,packed_ring_bytes,total_ring_bytes,samples,iterations_per_sample,calibration_us,calibration_wall_us,median_us,median_event_us,p10_us,p90_us,p10_event_us,p90_event_us,median_wall_us,p10_wall_us,p90_wall_us,effective_gbps,effective_wall_gbps,effective_tflops,effective_wall_tflops,correct,correctness_max_abs,correctness_relative_l2,speedup_vs_old,speedup_vs_old_wall,latency_ratio_vs_auto,latency_ratio_vs_auto_wall
512,3584,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,69,67264512,67280896,30,1,,,87.34100311994553,87.34100311994553,77.45289653539658,103.45899909734727,77.45289653539658,103.45899909734727,114.53449951659422,103.80790045019239,130.41000274824913,11.348988042176934,8.6544404016572,0.04201939374293608,0.03204288677638368,True,6.198883056640625e-06,1.0800276769150891e-06,1.0,1.0,2.651477650549226,1.9520153534797895
512,3584,auto,auto,runtime-guarded:small32x32,small32x32,public:q4_group64_gemv,integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,69,67264512,67280896,30,1,,,32.94050134718418,32.94050134718418,26.756000705063343,47.13100120425225,26.756000705063343,47.13100120425225,58.674999309005216,51.897998855565675,74.03609888569919,30.091588150182552,16.89360053981065,0.11141348339902302,0.06254820695731547,True,9.5367431640625e-07,1.908251673727957e-07,2.651477650549226,1.9520153534797895,1.0,1.0
512,3584,selected,small32x32,small32x32,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,69,67264512,67280896,30,1,,,33.19999948143959,33.19999948143959,26.893000304698944,55.53690157830716,26.893000304698944,55.53690157830716,59.06449950998649,52.425998728722334,85.41610186512118,29.85638600850421,16.782195874400067,0.11054265232900733,0.062135733485382066,True,9.5367431640625e-07,1.908251673727957e-07,2.6307531471129506,1.9391428094168308,1.0078777833864874,1.0066382651140737
512,3584,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,69,67264512,67280896,30,1569,63.44654083251953,63.77489000442438,37.484592658991716,37.484592658991716,37.06899731686497,38.45191381781476,37.06899731686497,38.45191381781476,37.50906437126058,37.08739451816182,38.470317652976405,26.44371806351284,26.42646561878737,0.09790731977234506,0.09784344295220448,True,6.198883056640625e-06,1.0800276769150891e-06,1.0,1.0,2.2269201200591953,2.227442839502143
512,3584,auto,auto,runtime-guarded:small32x32,small32x32,public:q4_group64_gemv,batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,69,67264512,67280896,30,5038,19.46789026260376,19.85236998734763,16.832481920364216,16.832481920364216,16.7409487213583,17.554078777899292,16.7409487213583,17.554078777899292,16.83951826105861,16.750249504162085,17.565746626113253,58.888047804809524,58.863441615917495,0.21803178030210468,0.21794067639612427,True,9.5367431640625e-07,1.908251673727957e-07,2.2269201200591953,2.227442839502143,1.0,1.0
512,3584,selected,small32x32,small32x32,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,69,67264512,67280896,30,5905,16.65485978126526,16.93539001280442,16.786473570588683,16.786473570588683,16.64950765663037,16.940090944966855,16.64950765663037,16.940090944966855,16.790837510734377,16.653443742530644,16.95742651988103,59.04944810664236,59.0341011498864,0.21862936158492377,0.2185725397946207,True,9.5367431640625e-07,1.908251673727957e-07,2.2330236604707663,2.2339007418350065,0.9972666924584739,0.9971091364034559
1024,3072,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,41,68517888,68534272,30,1,,,52.21500061452389,52.21500061452389,49.12409894168377,56.397998332977295,49.12409894168377,56.397998332977295,72.16949961730279,69.36300233064685,76.3541003834689,32.319294841310374,23.383174456642703,0.12049135164139013,0.08717610671214368,True,5.245208740234375e-06,9.239698139420114e-07,1.0,1.0,1.9182586854214005,1.5201579852179667
1024,3072,auto,auto,runtime-guarded:small32x32,small32x32,public:q4_group64_gemv,integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,41,68517888,68534272,30,1,,,27.219999581575394,27.219999581575394,21.147999167442322,35.71999967098237,21.147999167442322,35.71999967098237,47.47499951918144,46.65399937948678,59.519001661101356,61.996768036038695,35.546119370010196,0.23113358180426075,0.1325214547386788,True,9.5367431640625e-07,1.8621781702026649e-07,1.9182586854214005,1.5201579852179667,1.0,1.0
1024,3072,selected,small32x32,small32x32,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,41,68517888,68534272,30,1,,,27.18999981880188,27.18999981880188,25.75209941715002,32.36010037362576,25.75209941715002,32.36010037362576,47.31499939225614,46.43889806175139,56.1910987016745,62.06517143236824,35.66632192065916,0.2313886002915476,0.13296958851973903,True,9.5367431640625e-07,1.8621781702026649e-07,1.9203751733171115,1.5252985426248253,0.9988978779120254,0.9966298024529594
1024,3072,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,41,68517888,68534272,30,3045,32.5931191444397,32.84698999777902,31.028103632684214,31.028103632684214,30.15037273538524,31.702993859602703,30.15037273538524,31.702993859602703,31.040075862258732,30.162134975763056,31.711792742077655,54.38785495812176,54.366877435756365,0.20276637188270638,0.20268816442068394,True,5.245208740234375e-06,9.239698139420114e-07,1.0,1.0,1.844006167434205,1.8438992453781506
